concept_id,entity,attribute,display_name,description,data_type,aliases
price.list,price,list,Price List,Identifier for a specific pricing tier or list,string,"price list, pricing tier, pricing list, pltyp"
contract.id,contract,id,Contract ID,Identifier for a legal or business contract,string,"contract id, contract number, contract no, agreement id, konnr"
contract.start_date,contract,start_date,Contract Start,Effective start date of the contract,date,"contract start date, contract effective date, valid from"
contract.end_date,contract,end_date,Contract End,Expiration date of the contract,date,"contract end date, contract expiry date, valid to"
employee.position,employee,position,Job Position,Job title or position within the company,string,"employee position, worker position, job title, position title, plans"
employee.manager_id,employee,manager_id,Manager ID,Employee ID of the supervisor,string,"manager id, supervisor id, reports to id, line manager id"
employee.hire_date,employee,hire_date,Hire Date,Date when the employee joined,date,"hire date, employee hire date, employment start date, join date"
employee.salary,employee,salary,Base Salary,Fixed compensation amount,decimal,"salary amount, base salary, base pay, annual salary"
org_unit.id,org_unit,id,Org Unit ID,Identifier for an organizational department,string,"org unit id, organization unit id, org structure unit, orgeh, department id"
project.id,project,id,Project ID,Identifier for a specific business project,string,"project id, project code, project element, psp element, posid"
project.manager,project,manager,Project Manager,Person responsible for the project,string,"project manager, project lead, project owner"
asset.id,asset,id,Asset ID,Identifier for a fixed or capital asset,string,"asset id, asset number, fixed asset id, asset no, anln1"
asset.description,asset,description,Asset Description,Detailed name of the asset,string,"asset description, asset name, fixed asset description"
asset.serial_number,asset,serial_number,Serial Number,Unique serial identifier for a physical unit,string,"serial number, serial no, asset serial number, sernr"
customer_group.id,customer_group,id,Customer Group,Classification for a set of customers,string,"customer group, customer segment, cust group, kdgrp"
vendor_group.id,vendor_group,id,Vendor Group,Classification for a set of suppliers,string,"vendor group, supplier group, vendor category, ktokk"
material_group.id,material_group,id,Material Group,Classification for products or materials,string,"material group, product category, mat group, matkl"
uom.code,uom,code,Unit of Measure,Standard code for unit of measurement,string,"unit of measure, uom, base unit, meins"
currency.code,currency,code,Currency Code,"ISO code for currency (e.g., EUR, USD)",string,"currency code, currency, iso currency, waers"
payment_term.id,payment_term,id,Payment Terms,"Terms for payment (e.g., Net 30)",string,"payment terms, payment term, pay terms, zterm, payment conditions"
incoterm.code,incoterm,code,Incoterms,"Standard trade terms (e.g., EXW, FOB)",string,"incoterm, incoterms, inco1, shipping terms"
opportunity.id,opportunity,id,Opportunity ID,CRM identifier for a potential sales deal,string,"opportunity id, opportunity number, opp id, deal id"
lead.id,lead,id,Lead ID,Identifier for a potential customer contact,string,"lead id, prospect id, sales lead id"
ticket.id,ticket,id,Ticket ID,Identifier for a support or service request,string,"ticket id, ticket number, case id, service request id"
trade.symbol,trade,symbol,Ticker Symbol,Unique identifier for a financial instrument,string,"ticker symbol, ticker, trade symbol, stock code"
trade.price,trade,price,Trade Price,Execution price of a trade,decimal,"trade price, execution price, exec price"
trade.volume,trade,volume,Trade Volume,Quantity of instruments traded,decimal,"trade volume, traded volume, amount traded"
quality_inspection.id,quality_inspection,id,Inspection Lot,Identifier for a quality inspection lot,string,"inspection lot, inspection id, qm lot, prueflos"
quality_inspection.status,quality_inspection,status,Inspection Status,Current status of quality check,string,"inspection status, qm status, usage decision"
defect.id,defect,id,Defect ID,Identifier for a recorded defect or non-conformity,string,"defect id, defect number, non conformity id, qm notification"
certificate.id,certificate,id,Certificate ID,Identifier for a quality or compliance certificate,string,"certificate id, certificate number, quality certificate, coa"
timesheet.id,timesheet,id,Timesheet ID,Identifier for a time tracking record,string,"timesheet id, timesheet number, time card id, cats record"
timesheet.hours,timesheet,hours,Hours Worked,Number of hours recorded,decimal,"timesheet hours, hours worked, logged hours, recorded hours, duration"
payroll.component,payroll,component,Pay Component,"Identifier for salary types (base, bonus, etc.)",string,"pay component, wage type, pay element, lgart"
employee.skill,employee,skill,Skill or Competency,Specific professional competency,string,"employee skill, competency, qualification"
absence.type,absence,type,Absence Type,"Category of absence (vacation, sick leave)",string,"absence type, leave type, absence code, awart"
handling_unit.id,handling_unit,id,Handling Unit ID,"Identifier for a physical packaging unit (pallet, box)",string,"handling unit id, hu id, sscc, packaging unit, venum"
container.id,container,id,Container ID,Identifier for a shipping container,string,"container id, container number, shipping container id"
shipping_point.id,shipping_point,id,Shipping Point,Organizational unit from which goods are shipped,string,"shipping point, shipping point id, loading point, vstel"
route.id,route,id,Route,Identifier for a transportation route,string,"route id, transportation route, transit path, route code"
fiscal_period.id,fiscal_period,id,Fiscal Period,Month or period of the fiscal year,integer,"fiscal period, posting period, fiscal month"
fiscal_year.id,fiscal_year,id,Fiscal Year,Financial reporting year,integer,"fiscal year, reporting year, gjahr"
ledger.id,ledger,id,Ledger ID,Identifier for a specific accounting ledger,string,"ledger id, accounting ledger, ledger code, rldnr"
internal_order.id,internal_order,id,Internal Order,Identifier for a short-term internal project or cost object,string,"internal order, internal order id, internal order number"
carbon_footprint.value,carbon_footprint,value,Carbon Footprint,Amount of CO2 equivalent for a material or process,decimal,"carbon footprint, carbon impact, co2 value, emission value"
material.origin,material,origin,Origin Country,Country where material was extracted or produced,string,"material origin, country of origin, coo, herkunft"
compliance.status,compliance,status,Compliance Status,Adherence to regulations such as REACH or RoHS,string,"compliance status, regulatory status, esg status"
equipment.id,equipment,id,Equipment ID,Identifier for a specific piece of machinery,string,"equipment id, equipment number, machine id, equnr"
maintenance_order.id,maintenance_order,id,Maintenance Order ID,Identifier for a repair or maintenance task,string,"maintenance order id, maintenance order number, repair order id"
work_order.id,work_order,id,Work Order ID,Identifier for a production task on the shop floor,string,"work order id, work order number, production order id"
scrap.quantity,scrap,quantity,Scrap Quantity,Quantity of rejected or wasted material,decimal,"scrap quantity, scrap qty, waste quantity, rejects quantity, ausschuss"
