concept_id,entity,attribute,display_name,description,data_type,aliases
address.country,address,country,Address Country,Country name component of a postal or physical address. Use address.country_code for country keys/codes.,string,"address country, address country name"
address.country_code,address,country_code,Address Country Code,Country key or ISO country code for an address.,string,"address country code, country code for address, address iso country, land1"
address.line1,address,line1,Address Line 1,First line of a street address,string,"address line 1, street address, address1, EM_FIRST_ADDRESS_LINE1, LO_ADDRESS_LINE1"
address.line2,address,line2,Address Line 2,"Second line of a street address (apartment, suite, floor)",string,"address line 2, address2, EM_FIRST_ADDRESS_LINE2"
address.postal_code,address,postal_code,Address Postal Code,Postal or ZIP code within an address,string,"postal code, zip code, postcode, zip"
address.region,address,region,State/Region,"State, province, or region component of an address.",string,"address state, address region, address province, EM_FIRST_ADDRESS_STATE"
address.region_code,address,region_code,Address Region Code,"State, province, or region code within an address country.",string,"address region code, address state code, address province code"
ap_payable.aging_bucket,ap_payable,aging_bucket,AP Aging Bucket,Aging classification of an open payable.,string,"ap aging bucket, payables aging, overdue supplier bucket"
ap_payable.amount,ap_payable,amount,Accounts Payable Amount,Total payable amount owed to a supplier.,decimal,"accounts payable amount, ap amount, supplier payable amount"
ap_payable.open_amount,ap_payable,open_amount,AP Open Amount,Outstanding unpaid payable amount.,decimal,"ap open amount, open payable, outstanding payable, unpaid supplier amount"
approval.approved_date,approval,approved_date,Approved Date,Date when approval was granted.,date,"approved date, approval date, release date"
approval.approver_id,approval,approver_id,Approver ID,Employee or user assigned to approve a request or document.,string,"approver id, approval user id, manager approval id"
approval.status,approval,status,Approval Status,Current approval state of a business document or request.,string,"approval status, workflow status, release status"
ar_receivable.aging_bucket,ar_receivable,aging_bucket,AR Aging Bucket,Aging classification of an open receivable.,string,"ar aging bucket, receivables aging, overdue bucket, days past due bucket"
ar_receivable.amount,ar_receivable,amount,Accounts Receivable Amount,Total receivable amount owed by a customer.,decimal,"accounts receivable amount, ar amount, customer receivable amount"
ar_receivable.open_amount,ar_receivable,open_amount,AR Open Amount,Outstanding unpaid receivable amount.,decimal,"ar open amount, open receivable, outstanding receivable, unpaid amount"
asset.description,asset,description,Asset Description,Detailed name of the asset,string,"asset description, asset name, fixed asset description"
asset.id,asset,id,Asset ID,Identifier for a fixed or capital asset,string,"asset id, asset number, fixed asset id, asset no, anln1"
asset.serial_number,asset,serial_number,Serial Number,Unique serial identifier for a physical unit,string,"serial number, serial no, asset serial number, sernr"
attachment.file_name,attachment,file_name,Attachment File Name,Name of an attached file.,string,"attachment file name, file name, document file name"
attachment.id,attachment,id,Attachment ID,Identifier for a file attachment linked to a business record.,string,"attachment id, file id, document attachment id"
audit.changed_by,audit,changed_by,Changed By,User or system that last changed a record.,string,"changed by, modified by, last updated by, aenam"
audit.created_by,audit,created_by,Created By,User or system that created a record.,string,"created by, creator user, entered by, ernam"
audit.source_system,audit,source_system,Source System,Originating application or system of record.,string,"source system, originating system, system of record, application source"
available_to_promise.date,available_to_promise,date,Available-to-Promise Date,Date on which product quantity is available to promise for customer demand.,date,"available to promise date, atp date, promise date, confirmed availability date"
available_to_promise.quantity,available_to_promise,quantity,Available-to-Promise Quantity,"Quantity available to commit to customer orders after considering supply, demand, and reservations.",decimal,"available to promise quantity, atp quantity, available quantity, promise quantity"
backorder.quantity,backorder,quantity,Backorder Quantity,Customer demand quantity that cannot currently be fulfilled from available supply.,decimal,"backorder quantity, open backorder qty, unfulfilled quantity, shortage quantity"
backorder.status,backorder,status,Backorder Status,Current processing state of a backordered sales or fulfillment line.,string,"backorder status, shortage status, fulfillment delay status"
bank_account.account_number,bank_account,account_number,Bank Account Number,Account number assigned by a financial institution.,string,"bank account number, account no, bank acct number"
bank_account.currency_code,bank_account,currency_code,Bank Account Currency Code,Currency code of the bank account.,string,"bank account currency, account currency code, currency"
bank_account.iban,bank_account,iban,IBAN,International Bank Account Number.,string,"iban, international bank account number"
bank_account.id,bank_account,id,Bank Account ID,"Identifier for a bank account used by a company, customer, or supplier.",string,"bank account id, bank account number id, bank details id"
bank_account.routing_number,bank_account,routing_number,Bank Routing Number,"Routing, sort, transit, or bank key number used for payments.",string,"routing number, sort code, transit number, bank key, aba number"
batch.id,batch,id,Batch Number,Identifier for a specific production lot or batch,string,"batch id, batch number, batch no, lot number, production lot, charg"
benefit_enrollment.effective_date,benefit_enrollment,effective_date,Benefit Enrollment Effective Date,Date from which benefit coverage is effective.,date,"benefit effective date, coverage effective date, enrollment effective date"
benefit_enrollment.status,benefit_enrollment,status,Benefit Enrollment Status,Enrollment status of an employee in a benefit plan.,string,"benefit enrollment status, benefits enrollment status, coverage status"
benefit_plan.id,benefit_plan,id,Benefit Plan ID,Identifier for an employee benefit plan.,string,"benefit plan id, benefits plan, health plan id"
benefit_plan.name,benefit_plan,name,Benefit Plan Name,Name of an employee benefit plan.,string,"benefit plan name, benefits plan name, insurance plan name"
bom.component,bom,component,BOM Component,Material or part within a BOM,string,"bom component, component material, component part, idnrk"
bom.id,bom,id,BOM ID,Identifier for a Bill of Materials,string,"bom id, bom number, bill of materials id, stlnr"
bom.quantity,bom,quantity,BOM Quantity,Required quantity of a component in a BOM,decimal,"bom quantity, component quantity, bom qty, menge"
business_partner.id,business_partner,id,Business Partner ID,"Stable identifier for a party that may act in one or more roles such as customer, vendor, carrier, employee, or contact.",string,"business partner id, business partner number, bp id, bp number"
business_unit.id,business_unit,id,Business Unit ID,Identifier for a business unit used for management reporting or operations.,string,"business unit id, bu id, operating unit id"
business_unit.name,business_unit,name,Business Unit Name,Name of a business unit.,string,"business unit name, bu name, operating unit name"
campaign.end_date,campaign,end_date,Campaign End Date,Date on which the campaign ends.,date,"campaign end date, campaign finish date, promotion end date"
campaign.id,campaign,id,Campaign ID,Identifier for a marketing or sales campaign.,string,"campaign id, marketing campaign id, campaign code"
campaign.name,campaign,name,Campaign Name,Name of a marketing or sales campaign.,string,"campaign name, marketing campaign name, promotion name"
campaign.start_date,campaign,start_date,Campaign Start Date,Date on which the campaign begins.,date,"campaign start date, campaign begin date, promotion start date"
campaign.status,campaign,status,Campaign Status,Lifecycle status of the campaign.,string,"campaign status, marketing campaign status, campaign lifecycle status"
campaign.type,campaign,type,Campaign Type,"Classification of campaign such as email, event, webinar, digital, or trade show.",string,"campaign type, campaign category, marketing channel"
capacity.available_hours,capacity,available_hours,Available Capacity Hours,"Capacity hours available for a work center, resource, or production period.",decimal,"available capacity, available hours, capacity available hours"
capacity.required_hours,capacity,required_hours,Required Capacity Hours,Capacity hours required to execute planned or released work.,decimal,"required capacity, required hours, capacity load hours"
capacity.utilization_percent,capacity,utilization_percent,Capacity Utilization Percent,Percentage of available capacity consumed by planned or actual workload.,decimal,"capacity utilization, utilization percent, resource utilization"
carbon_footprint.value,carbon_footprint,value,Carbon Footprint,Amount of CO2 equivalent for a material or process,decimal,"carbon footprint, carbon impact, co2 value, emission value"
carrier_service_level.code,carrier_service_level,code,Carrier Service Level Code,"Service level offered by a carrier such as ground, express, overnight, or economy.",string,"carrier service level, shipping service level, freight service code"
carrier_service_level.name,carrier_service_level,name,Carrier Service Level Name,Descriptive name of a carrier or transportation service level.,string,"carrier service level name, shipping service name, freight service name"
case.closed_date,case,closed_date,Case Closed Date,Date when the case was resolved or closed.,date,"case closed date, resolution date, issue closed date"
case.id,case,id,Case ID,Identifier for a customer service case or support case.,string,"case id, case number, service case id, support case number"
case.opened_date,case,opened_date,Case Opened Date,Date when the case was opened.,date,"case opened date, case created date, issue opened date"
case.priority,case,priority,Case Priority,"Priority assigned to a case such as low, medium, high, or critical.",string,"case priority, issue priority, severity"
case.status,case,status,Case Status,Current lifecycle status of a customer service case.,string,"case status, service case status, support status"
case.subject,case,subject,Case Subject,Short description or title of the customer service case.,string,"case subject, case title, issue subject"
certificate.id,certificate,id,Certificate ID,Identifier for a quality or compliance certificate,string,"certificate id, certificate number, quality certificate, coa"
certification.expiration_date,certification,expiration_date,Certification Expiration Date,Expiration date for a professional or compliance certification.,date,"certification expiration date, certificate expiry date, license expiration date"
company.id,company,id,Company ID,Stable identifier for a legal company or enterprise company record. Not equivalent to SAP company code unless explicitly company-code scoped.,string,"company id, company identifier, company number"
company.name,company,name,Company Name,Display or legal name of a legal company or enterprise company record.,string,"company name, company legal name"
company.tax_registration_id,company,tax_registration_id,Company Tax Registration ID,Tax registration identifier for a legal company entity.,string,"company tax registration id, company vat number, company tax number"
company_code.id,company_code,id,Company Code,Legal accounting entity used for financial postings.,string,"company code, company code id, accounting company code, bukrs"
compensation.base_salary,compensation,base_salary,Base Salary,Annual or periodic base salary amount,decimal,"base wage, pay rate, Annual_Salary, Base_Pay"
compensation.grade,compensation,grade,Compensation Grade,Pay grade or salary band assigned to an employee,string,"compensation grade, pay grade, salary grade, salary band, Compensation_Grade"
compensation.plan,compensation,plan,Compensation Plan,Name or ID of the compensation plan assigned to the worker,string,"compensation plan, pay plan, salary plan, COMP_PLAN"
compliance.status,compliance,status,Compliance Status,Adherence to regulations such as REACH or RoHS,string,"compliance status, regulatory status, esg status"
contact.account_id,contact,account_id,Contact Account ID,Business account or organization associated with the contact.,string,"contact account id, parent account id, company id for contact"
contact.email,contact,email,Contact Email,Primary email address for a contact person.,string,"contact email, email address, primary email"
contact.id,contact,id,Contact ID,Stable identifier for an individual contact person.,string,"contact id, contact number, person id, business contact id"
contact.name,contact,name,Contact Name,Display name of a contact person.,string,"contact name, full name, person name"
contact.phone,contact,phone,Contact Phone,Primary phone number for a contact person.,string,"contact phone, contact telephone, phone number, mobile number"
contact.role,contact,role,Contact Role,Business role of the contact in a relationship or transaction.,string,"contact role, buyer role, stakeholder role, decision maker role"
container.id,container,id,Container ID,Identifier for a shipping container,string,"container id, container number, shipping container id"
contract.end_date,contract,end_date,Contract End Date,Expiration or end date of the contract.,date,"contract end date, contract expiry date, contract valid to date"
contract.id,contract,id,Contract ID,Identifier for a legal or business contract,string,"contract id, contract number, contract no, agreement id, konnr"
contract.start_date,contract,start_date,Contract Start Date,Effective start date of the contract.,date,"contract start date, contract effective date, contract valid from date"
cost_center.code,cost_center,code,Cost Center Code,Short numeric or alphanumeric code for the cost center,string,"cost center code, cost center number, CC_CODE, kostenstelle"
cost_center.id,cost_center,id,Cost Center,Identifier for an organizational cost center,string,"cost center, cost center id, cost centre, kostl, budget center"
cost_center.manager_id,cost_center,manager_id,Cost Center Manager ID,Employee ID of the manager responsible for the cost center,string,"cost center manager, cc manager id, CC_COST_CENTER_MANAGER"
cost_center.name,cost_center,name,Cost Center Name,Descriptive name of the cost center organizational unit,string,"cost center name, CC_NAME, cost centre name"
currency.code,currency,code,Currency Code,ISO or ERP currency key used as a reference currency code.,string,"iso currency code, currency master code, waers"
customer.account_status,customer,account_status,Customer Account Status,Lifecycle or trading status of the customer account.,string,"customer account status, customer status, blocked status, account active flag"
customer.address,customer,address,Customer Address,"Primary customer master address when explicitly customer-scoped. Use ship-to, bill-to, or payer address concepts when partner role matters.",string,"customer address, customer master address, client address, buyer address"
customer.bill_to_party_id,customer,bill_to_party_id,Bill-To Party ID,Customer account that receives the invoice.,string,"bill-to party id, bill to party id, invoice recipient customer, billing customer number"
customer.classification,customer,classification,Customer Classification,Business classification or tier assigned to a customer.,string,"customer classification, customer tier, customer class, account class"
customer.credit_limit,customer,credit_limit,Customer Credit Limit,Approved credit exposure limit for the customer account.,decimal,"credit limit, customer credit limit, credit exposure limit"
customer.email,customer,email,Customer Email,Primary email address for the customer account or customer contact when explicitly customer-scoped.,string,"customer email, customer email address, client email, client mail, buyer email"
customer.id,customer,id,Customer ID,"Stable identifier for a customer account or customer master record. Does not by itself imply sold-to, ship-to, bill-to, or payer role.",string,"customer id, customer identifier, customer number, customer no, cust id, cust no"
customer.language_code,customer,language_code,Customer Language Code,Preferred communication language code for the customer.,string,"customer language, language code, correspondence language, spras"
customer.name,customer,name,Customer Name,Display or legal name of the customer account or customer master record.,string,"customer name, customer account name, client name, buyer name"
customer.payer_id,customer,payer_id,Payer ID,Customer account responsible for payment.,string,"payer id, payer customer number, payment responsible customer"
customer.phone,customer,phone,Customer Phone,Primary phone number for the customer account or customer contact when explicitly customer-scoped.,string,"customer phone, customer phone number, customer telephone, customer_phone, customer phone field, client phone, buyer phone"
customer.ship_to_party_id,customer,ship_to_party_id,Ship-To Party ID,Customer or location that receives delivered goods or services.,string,"ship-to party id, ship to party id, ship-to customer number, delivery recipient customer"
customer.sold_to_party_id,customer,sold_to_party_id,Sold-To Party ID,Customer account that places or owns the sales order.,string,"sold-to party id, sold to party id, sold-to customer number, sold to customer number, sales order sold-to party"
customer.tax_registration_id,customer,tax_registration_id,Customer Tax Registration ID,Tax registration identifier for a customer account.,string,"customer tax registration id, customer vat number, customer tax number"
customer_group.id,customer_group,id,Customer Group,Classification for a set of customers,string,"customer group, customer segment, cust group, kdgrp"
defect.id,defect,id,Defect ID,Identifier for a recorded defect or non-conformity,string,"defect id, defect number, non conformity id, qm notification"
delivery.actual_delivery_date,delivery,actual_delivery_date,Actual Delivery Date,Actual date on which goods were delivered.,date,"actual delivery date, delivered date"
delivery.goods_issue_date,delivery,goods_issue_date,Goods Issue Date,Date on which goods issue is posted or planned for an outbound delivery.,date,"goods issue date, actual goods issue date, planned goods issue date, wadat"
delivery.id,delivery,id,Delivery ID,Identifier for an outbound/inbound delivery document or shipping document.,string,"delivery id, delivery number, delivery no, shipping document number, outbound delivery number, delivery vbeln, vbeln_vl"
delivery.line_item_number,delivery,line_item_number,Delivery Line Item Number,Item number identifying a specific line within a delivery document.,integer,"delivery line item number, delivery item number, delivery posnr"
delivery.planned_delivery_date,delivery,planned_delivery_date,Planned Delivery Date,Planned date on which goods are expected to be delivered.,date,"planned delivery date, scheduled delivery date"
delivery.requested_delivery_date,delivery,requested_delivery_date,Requested Delivery Date,Date requested by the customer or requester for delivery.,date,"requested delivery date, customer requested delivery date"
delivery.status,delivery,status,Delivery Status,Current state of the delivery process,string,"delivery status, shipping status, shipment status"
demand_forecast.forecast_date,demand_forecast,forecast_date,Demand Forecast Date,Date on which a demand forecast was created or published.,date,"forecast date, demand forecast date, forecast creation date"
demand_forecast.forecast_period,demand_forecast,forecast_period,Demand Forecast Period,Time bucket or planning period covered by a demand forecast.,string,"forecast period, demand period, forecast bucket, planning bucket"
demand_forecast.id,demand_forecast,id,Demand Forecast ID,Identifier for a demand forecast record or forecast version item.,string,"demand forecast id, forecast id, demand forecast number"
demand_forecast.quantity,demand_forecast,quantity,Demand Forecast Quantity,"Expected demand quantity for a product, location, customer, or planning bucket.",decimal,"forecast quantity, demand forecast quantity, forecast qty"
demand_forecast.version,demand_forecast,version,Demand Forecast Version,Version or scenario identifier for a demand forecast.,string,"forecast version, demand plan version, forecast scenario"
demand_plan.id,demand_plan,id,Demand Plan ID,Identifier for an approved or working demand plan.,string,"demand plan id, demand planning plan id, forecast plan id"
demand_plan.status,demand_plan,status,Demand Plan Status,"Lifecycle status of a demand plan such as draft, reviewed, approved, or published.",string,"demand plan status, forecast plan status, planning status"
demand_plan.version,demand_plan,version,Demand Plan Version,"Version, scenario, or cycle identifier for a demand plan.",string,"demand plan version, planning version, forecast cycle"
department.code,department,code,Department Code,Short code or organization code for the department/supervisory organization.,string,"department code, supervisory org code, DP_CODE, PO_DEPARTMENT_CODE"
department.id,department,id,Department ID,Unique reference identifier for the organizational department/supervisory org,string,"department id, supervisory org id, department reference id, DP_DEPARTMENT_NK"
department.manager_id,department,manager_id,Department Manager ID,Employee ID of the department or supervisory org manager,string,"department manager id, org manager id, DP_MANAGER_ID"
department.name,department,name,Department Name,Name of the organizational department or supervisory organization.,string,"department name, supervisory org name, DP_NAME"
dimension.id,dimension,id,Dimension ID,Identifier for an analytical or accounting dimension.,string,"dimension id, financial dimension, analytical dimension"
dimension.value,dimension,value,Dimension Value,Value assigned to an analytical or accounting dimension.,string,"dimension value, segment value, accounting dimension value"
distribution_channel.id,distribution_channel,id,Distribution Channel,Channel through which goods or services are sold.,string,"distribution channel, distribution channel id, sales distribution channel, vtweg"
division.id,division,id,Division,Product or service division used in sales area or organizational reporting.,string,"division id, sales division, product division, spart"
document.changed_date,document,changed_date,Last Changed Date,Technical date when a record or document was last changed in the source system.,date,"last changed date, changed date, record changed date, document changed date, aedat"
document.created_date,document,created_date,Created Date,Technical date when a record or document was created in the source system.,date,"created date, record created date, document created date, creation date, erdat"
document.type,document,type,Document Type,Business classification of an ERP document within a specific document family.,string,"document type, document category"
employee.birth_date,employee,birth_date,Date of Birth,Employee birth date,date,"birth date, date of birth, dob, Birth_Date, Date_of_Birth"
employee.contract_end_date,employee,contract_end_date,Contract End Date,Expiration date of the fixed-term or contingent worker contract,date,"employment contract end date, worker contract end date, fixed-term contract expiry date, EM_CONTRACT_EXP_DATE"
employee.department,employee,department,Employee Department Reference,"Department reference associated with an employee record; prefer department.id, department.code, or department.name when the source field meaning is known.",string,"employee department, worker department, employee department reference, worker org unit"
employee.email,employee,email,Employee Email,Primary employee email address,string,"employee email, work email, corporate email"
employee.employee_type,employee,employee_type,Employee Type,"Type of worker engagement: Regular, Fixed Term, Intern, Apprentice, Contingent, etc.",string,"employee type, worker type, employment type, EM_EMPLOYEE_TYPE, EM_WORKER_TYPE"
employee.employment_status,employee,employment_status,Employment Status,"Current active status of the worker: Active, Terminated, On Leave, etc.",string,"employment status, worker status, active status, EM_EMPLOYMENT_STATUS"
employee.fte,employee,fte,FTE,Full Time Equivalent ratio for the worker's primary position,decimal,"fte, full time equivalent, EM_FTE, EM_FULL_PARTTIME_INDICATOR, EM_SCHEDULED_WEEKLY_HOURS"
employee.gender,employee,gender,Gender,Legal or self-identified gender of the employee,string,"gender, worker gender, EM_GENDER"
employee.hire_date,employee,hire_date,Hire Date,Date when the employee joined,date,"hire date, employee hire date, employment start date, join date"
employee.id,employee,id,Employee ID,Stable identifier for an employee,string,"employee id, worker id, personnel number, staff id"
employee.manager_id,employee,manager_id,Manager ID,Employee ID of the supervisor,string,"manager id, supervisor id, reports to id, line manager id"
employee.marital_status,employee,marital_status,Marital Status,Marital or civil partnership status of the employee,string,"marital status, civil status, EM_MARITAL_STATUS"
employee.name,employee,name,Employee Name,Display name of an employee,string,"employee name, worker name, staff name"
employee.national_id,employee,national_id,National ID,Government-issued national identification number,string,"national id, national id number, ssn, social security number, nin, National_ID"
employee.nationality,employee,nationality,Nationality,Primary nationality or citizenship country of the employee,string,"nationality, citizenship, EM_NATIONALITY, EM_CITIZENSHIP_PRIMARY"
employee.passport_id,employee,passport_id,Passport ID,Passport document number,string,"passport number, passport id, Passport_ID"
employee.pay_group,employee,pay_group,Pay Group,Payroll pay group reference for the worker,string,"pay group, payroll group, EM_PAY_GROUP, EM_PAY_RATE_TYPE"
employee.position,employee,position,Employee Position Assignment,Current organizational position assignment for an employee; not the same as job profile title or position title.,string,"employee current position, employee position assignment, worker position assignment"
employee.service_date,employee,service_date,Service Date,"Company or division service date, taking into account tenure and breaks",date,"service date, seniority date, company service date, division entry date, EM_COMPANY_SERVICE_DATE, EM_SENIORITY_DATE"
employee.skill,employee,skill,Skill or Competency,Specific professional competency,string,"employee skill, competency, qualification"
employee.termination_date,employee,termination_date,Termination Date,Date employee contract or employment ended,date,"termination date, separation date, Termination_Date"
employee.termination_reason,employee,termination_reason,Termination Reason,Reason code or description for the end of employment,string,"termination reason, separation reason, EM_TERMINATION_REASON"
equipment.id,equipment,id,Equipment ID,Identifier for a specific piece of machinery,string,"equipment id, equipment number, machine id, equnr"
exchange_rate.effective_date,exchange_rate,effective_date,Exchange Rate Effective Date,Date from which the exchange rate is valid.,date,"exchange rate date, fx rate date, effective date, gdatu"
exchange_rate.from_currency_code,exchange_rate,from_currency_code,From Currency Code,Source currency code for an exchange rate.,string,"from currency, source currency, base currency"
exchange_rate.rate,exchange_rate,rate,Exchange Rate,Rate used to convert between two currencies.,decimal,"exchange rate, fx rate, conversion rate, kursf"
exchange_rate.to_currency_code,exchange_rate,to_currency_code,To Currency Code,Target currency code for an exchange rate.,string,"to currency, target currency, quote currency"
fiscal_period.id,fiscal_period,id,Fiscal Period,Month or period of the fiscal year,integer,"fiscal period, posting period, fiscal month"
fiscal_year.id,fiscal_year,id,Fiscal Year,Financial reporting year,integer,"fiscal year, reporting year, gjahr"
fulfillment.due_date,fulfillment,due_date,Fulfillment Due Date,Date by which an order or shipment is expected to be fulfilled.,date,"fulfillment due date, ship by date, delivery commitment date"
fulfillment.status,fulfillment,status,Fulfillment Status,Current fulfillment state of an order or order line.,string,"fulfillment status, order fulfillment status, fulfillment lifecycle status"
gl_account.id,gl_account,id,GL Account,General Ledger account identifier,string,"gl account, gl account id, general ledger account, hkont"
goods_movement.type,goods_movement,type,Goods Movement Type,Code identifying the type of inventory movement.,string,"goods movement type, movement type, inventory movement type, bwart"
goods_receipt.date,goods_receipt,date,Goods Receipt Date,Date when goods or services were received.,date,"goods receipt date, receipt date, gr date, budat"
goods_receipt.id,goods_receipt,id,Goods Receipt ID,Identifier for a goods receipt document or receiving transaction.,string,"goods receipt id, receipt number, gr document number, mblnr"
goods_receipt.quantity,goods_receipt,quantity,Goods Receipt Quantity,Quantity received in a goods receipt transaction.,decimal,"goods receipt quantity, received quantity, gr quantity, menge"
handling_unit.id,handling_unit,id,Handling Unit ID,"Identifier for a physical packaging unit (pallet, box)",string,"handling unit id, hu id, sscc, packaging unit, venum"
incoterm.code,incoterm,code,Incoterms,"Standard trade terms (e.g., EXW, FOB)",string,"incoterm, incoterms, inco1, shipping terms"
incoterm.location,incoterm,location,Incoterms Location,Named place associated with the Incoterms rule.,string,"incoterms location, incoterm place, shipping terms location, inco2"
internal_order.id,internal_order,id,Internal Order,Identifier for a short-term internal project or cost object,string,"internal order, internal order id, internal order number"
inventory_location.id,inventory_location,id,Inventory Location ID,Identifier for a physical or logical inventory location.,string,"inventory location id, stock location, storage location, warehouse location"
inventory_lot.expiration_date,inventory_lot,expiration_date,Inventory Lot Expiration Date,Expiration or shelf-life date for a batch or lot.,date,"expiration date, shelf life expiration date, use by date, vfdat"
inventory_lot.id,inventory_lot,id,Inventory Lot ID,Identifier for a lot or batch of inventory.,string,"inventory lot id, lot id, batch number, charg"
inventory_lot.manufacture_date,inventory_lot,manufacture_date,Inventory Lot Manufacture Date,Date when the lot or batch was manufactured.,date,"manufacture date, production date, batch production date"
inventory_policy.maximum_stock_quantity,inventory_policy,maximum_stock_quantity,Maximum Stock Quantity,Upper inventory threshold used for replenishment or inventory control.,decimal,"maximum stock, max stock quantity, max inventory level"
inventory_policy.minimum_stock_quantity,inventory_policy,minimum_stock_quantity,Minimum Stock Quantity,Lower inventory threshold used for replenishment or inventory control.,decimal,"minimum stock, min stock quantity, min inventory level"
inventory_policy.reorder_point,inventory_policy,reorder_point,Reorder Point,Inventory level that triggers replenishment planning or ordering.,decimal,"reorder point, reorder level, replenishment trigger quantity"
inventory_policy.safety_stock_quantity,inventory_policy,safety_stock_quantity,Safety Stock Quantity,Buffer inventory quantity maintained to protect against demand or supply variability.,decimal,"safety stock, buffer stock, safety inventory quantity"
inventory_reservation.id,inventory_reservation,id,Inventory Reservation ID,Identifier for a reservation or allocation of inventory to demand.,string,"inventory reservation id, reservation number, stock reservation id"
inventory_reservation.quantity,inventory_reservation,quantity,Inventory Reservation Quantity,"Quantity of inventory reserved for a sales order, production order, project, or other demand.",decimal,"reserved quantity, reservation quantity, allocated stock quantity"
inventory_reservation.status,inventory_reservation,status,Inventory Reservation Status,Current state of an inventory reservation or allocation.,string,"reservation status, inventory reservation status, allocation status"
inventory_transaction.date,inventory_transaction,date,Inventory Transaction Date,Date of the inventory movement or stock transaction.,date,"inventory transaction date, movement date, posting date"
inventory_transaction.id,inventory_transaction,id,Inventory Transaction ID,Identifier for an inventory movement or stock transaction.,string,"inventory transaction id, stock transaction id, movement document id"
inventory_transaction.quantity,inventory_transaction,quantity,Inventory Transaction Quantity,Quantity moved in an inventory transaction.,decimal,"inventory transaction quantity, movement quantity, stock movement quantity"
inventory_transaction.type,inventory_transaction,type,Inventory Transaction Type,"Business type of inventory transaction such as receipt, issue, transfer, or adjustment.",string,"inventory transaction type, movement type, stock movement type, bwart"
invoice.amount,invoice,amount,Invoice Amount,Total monetary amount on an invoice,decimal,"invoice amount, invoice total, total amount, bill amount"
invoice.billing_document_id,invoice,billing_document_id,Billing Document ID,Identifier for a sales billing document.,string,"billing document id, billing document number, sales invoice document number, billing document vbeln"
invoice.document_currency_code,invoice,document_currency_code,Invoice Document Currency,Currency code used for the invoice document amounts.,string,"invoice currency code, invoice document currency, billing document currency"
invoice.document_date,invoice,document_date,Invoice Document Date,Business document or issue date of the invoice.,date,"invoice document date, invoice issue date, billing document date"
invoice.due_date,invoice,due_date,Invoice Due Date,Date by which payment for the invoice is due.,date,"invoice due date, payment due date, invoice payment due date"
invoice.line_item_number,invoice,line_item_number,Invoice Line Item Number,Item number identifying a specific line within an invoice or billing document.,integer,"invoice line item number, billing document item number"
invoice.number,invoice,number,Invoice Number,Business identifier for an invoice document.,string,"invoice number, invoice no, invoice id, bill number, inv no"
invoice.posting_date,invoice,posting_date,Invoice Posting Date,Date on which the invoice is posted to accounting.,date,"invoice posting date, billing posting date, accounting invoice posting date"
job.career_level,job,career_level,Career Level,Management or career stream level for the job profile,string,"career level, management level, career stream, JO_CAREER_STREAM, JO_TRAINING_LEVEL"
job.category,job,category,Job Category,"Job classification category (e.g. Sales, Engineering, Operations)",string,"job category, job classification, JO_CATEGORY"
job.function,job,function,Job Function,Job family or functional area grouping for the job profile,string,"job function, job family, job family group, JO_FUNCTION, JO_SUB_FUNCTION"
job.id,job,id,Job Profile ID,Unique identifier for the job profile,string,"job id, job profile id, job code, job profile code, JO_JOB_NK"
job.title,job,title,Job Title,Official job title / job profile name,string,"job profile name, JO_JOB_TITLE"
